,Timestep,Date,Activity
829,74451,2023-02-21 16:51:00,make smoothie
830,74456,2023-02-21 16:56:00,go to horse riding lessons
831,74629,2023-02-21 19:49:00,talk with friends on the phone
832,74656,2023-02-21 20:16:00,take singing lessons
833,74792,2023-02-21 22:32:00,sleep bed 02 (06 h)
834,75127,2023-02-22 04:07:00,go to the toilet
835,75133,2023-02-22 04:13:00,hang up laundry outside
836,75163,2023-02-22 04:43:00,do laundry 30°C with mini washing machine
837,75178,2023-02-22 04:58:00,make smoothie
838,75183,2023-02-22 05:03:00,work at the office (09 h)
839,75659,2023-02-22 12:59:00,cook coffee
840,75670,2023-02-22 13:10:00,practice generic music instrument (1 h)
841,75724,2023-02-22 14:04:00,go to the toilet
842,75730,2023-02-22 14:10:00,hang up laundry outside
843,75758,2023-02-22 14:38:00,talk with friends on the phone
844,75786,2023-02-22 15:06:00,iron Clothes
845,75856,2023-02-22 16:16:00,make smoothie
846,75862,2023-02-22 16:22:00,run vacuum cleaner robot
847,75872,2023-02-22 16:32:00,bake bread
848,75939,2023-02-22 17:39:00,take a shower (men)
849,75958,2023-02-22 17:58:00,run the dishwasher (triggered)
850,75978,2023-02-22 18:18:00,watch sports on TV with SAT Reciever (2 h)
851,76090,2023-02-22 20:10:00,go to the toilet
852,76095,2023-02-22 20:15:00,visit the cinema
853,76250,2023-02-22 22:50:00,sleep bed 02 (06 h)
854,76600,2023-02-23 04:40:00,make smoothie
855,76606,2023-02-23 04:46:00,talk with friends on the phone
856,76636,2023-02-23 05:16:00,work at the office (09 h)
857,77095,2023-02-23 12:55:00,do laundry 30°C with mini washing machine
858,77110,2023-02-23 13:10:00,go to the toilet
859,77115,2023-02-23 13:15:00,go shopping for food in the supermarket (1_5 h)
860,77200,2023-02-23 14:40:00,hang up laundry outside
861,77227,2023-02-23 15:07:00,make smoothie
862,77232,2023-02-23 15:12:00,practice generic music instrument (1 h)
863,77297,2023-02-23 16:17:00,do laundry 60°C with mini washing machine
864,77314,2023-02-23 16:34:00,listen to music on hifi (2 h)
865,77439,2023-02-23 18:39:00,talk with friends on the phone
866,77469,2023-02-23 19:09:00,watch the news
867,77485,2023-02-23 19:25:00,go to the toilet
868,77490,2023-02-23 19:30:00,visit an opera
869,77699,2023-02-23 22:59:00,sleep bed 02 (06 h)
870,78088,2023-02-24 05:28:00,work at the office (09 h)
871,78628,2023-02-24 14:28:00,hang up laundry outside
872,78660,2023-02-24 15:00:00,make smoothie
873,78665,2023-02-24 15:05:00,iron and watch TV with Sat Reciever (1 h)
874,78724,2023-02-24 16:04:00,go to the toilet
875,78730,2023-02-24 16:10:00,talk with friends on the phone
876,78754,2023-02-24 16:34:00,go to horse riding lessons
877,78945,2023-02-24 19:45:00,practice generic music instrument (1 h)
878,79007,2023-02-24 20:47:00,go to the toilet
879,79012,2023-02-24 20:52:00,take a shower (men)
880,79032,2023-02-24 21:12:00,sleep bed 02 (06 h)
881,79392,2023-02-25 03:12:00,make smoothie
882,79398,2023-02-25 03:18:00,do laundry 30°C with mini washing machine
883,79412,2023-02-25 03:32:00,go to the toilet
884,79417,2023-02-25 03:37:00,talk with friends on the phone
885,79448,2023-02-25 04:08:00,watch a movie for 2 h
886,79574,2023-02-25 06:14:00,get ready in the morning (men)
887,79585,2023-02-25 06:25:00,hang up laundry outside
888,79607,2023-02-25 06:47:00,cook coffee
889,79617,2023-02-25 06:57:00,watch TV (1 h)
890,79674,2023-02-25 07:54:00,watch sports on TV with SAT Reciever (2 h)
891,79785,2023-02-25 09:45:00,eat very small breakfast (5 min)
892,79791,2023-02-25 09:51:00,go to the toilet
893,79796,2023-02-25 09:56:00,take a hike (4 h)
894,80029,2023-02-25 13:49:00,cook weekend lunch for the family
895,80166,2023-02-25 16:06:00,talk with friends on the phone
896,80194,2023-02-25 16:34:00,go shopping for food in the supermarket (1_5 h)
897,80302,2023-02-25 18:22:00,take singing lessons
898,80433,2023-02-25 20:33:00,practice generic music instrument (1 h)
899,80501,2023-02-25 21:41:00,sleep bed 02 (06 h)
900,80825,2023-02-26 03:05:00,go to the toilet
901,80830,2023-02-26 03:10:00,make smoothie
902,80835,2023-02-26 03:15:00,listen to music on hifi (2 h)
903,80948,2023-02-26 05:08:00,do laundry 30°C with mini washing machine
904,80965,2023-02-26 05:25:00,talk with friends on the phone
905,80993,2023-02-26 05:53:00,watch the news
906,81010,2023-02-26 06:10:00,get ready in the morning (men)
907,81020,2023-02-26 06:20:00,watch a movie for 1 h 30 min
908,81094,2023-02-26 07:34:00,hang up laundry outside
909,81120,2023-02-26 08:00:00,run the dishwasher (triggered)
910,81134,2023-02-26 08:14:00,go to the toilet
911,81139,2023-02-26 08:19:00,eat very small breakfast (5 min)
912,81145,2023-02-26 08:25:00,run vacuum cleaner robot
913,81154,2023-02-26 08:34:00,cook coffee
914,81164,2023-02-26 08:44:00,bake a cake
915,81201,2023-02-26 09:21:00,watch TV (1 h)
916,81266,2023-02-26 10:26:00,watch sports on TV with SAT Reciever (2 h)
917,81373,2023-02-26 12:13:00,cook weekend lunch for the family
918,81526,2023-02-26 14:46:00,go to the toilet
919,81531,2023-02-26 14:51:00,talk with friends on the phone
920,81559,2023-02-26 15:19:00,watch the news
921,81573,2023-02-26 15:33:00,go to horse riding lessons
922,81766,2023-02-26 18:46:00,watch TV (1 h)
923,81832,2023-02-26 19:52:00,listen to music on hifi (2 h)
924,81934,2023-02-26 21:34:00,sleep bed 02 (06 h)
925,82294,2023-02-27 03:34:00,go to the toilet
926,82300,2023-02-27 03:40:00,iron and watch TV with Sat Reciever (1 h)
927,82357,2023-02-27 04:37:00,make smoothie
928,82362,2023-02-27 04:42:00,practice generic music instrument (1 h)
929,82425,2023-02-27 05:45:00,work at the office (09 h)
930,82895,2023-02-27 13:35:00,take a shower (men)
931,82916,2023-02-27 13:56:00,talk with friends on the phone
932,82948,2023-02-27 14:28:00,go to the toilet
933,82953,2023-02-27 14:33:00,cook coffee
934,82965,2023-02-27 14:45:00,watch TV (1 h)
935,83028,2023-02-27 15:48:00,make smoothie
936,83034,2023-02-27 15:54:00,watch the news
937,83050,2023-02-27 16:10:00,run the dishwasher (triggered)
938,83068,2023-02-27 16:28:00,watch sports on TV with DVB-T (2 h)
939,83188,2023-02-27 18:28:00,do laundry 30°C with mini washing machine
940,83204,2023-02-27 18:44:00,go shopping for food in the supermarket (1_5 h)
941,83280,2023-02-27 20:00:00,hang up laundry outside
942,83313,2023-02-27 20:33:00,go to the toilet
943,83319,2023-02-27 20:39:00,talk with friends on the phone
944,83353,2023-02-27 21:13:00,sleep bed 02 (06 h)
945,83724,2023-02-28 03:24:00,make smoothie
946,83730,2023-02-28 03:30:00,do laundry 60°C with mini washing machine
947,83746,2023-02-28 03:46:00,watch a movie for 2 h
948,83870,2023-02-28 05:50:00,work at the office (09 h)
949,84378,2023-02-28 14:18:00,go to the toilet
950,84384,2023-02-28 14:24:00,hang up laundry outside
951,84414,2023-02-28 14:54:00,make smoothie
952,84419,2023-02-28 14:59:00,iron Clothes
953,84470,2023-02-28 15:50:00,practice generic music instrument (1 h)
954,84527,2023-02-28 16:47:00,talk with friends on the phone
955,84561,2023-02-28 17:21:00,go to horse riding lessons
956,84760,2023-02-28 20:40:00,listen to music on hifi (2 h)
957,84867,2023-02-28 22:27:00,sleep bed 02 (06 h)
958,85227,2023-03-01 04:27:00,go to the toilet
959,85232,2023-03-01 04:32:00,do laundry 30°C with mini washing machine
960,85248,2023-03-01 04:48:00,make smoothie
961,85253,2023-03-01 04:53:00,watch TV (1 h)
962,85309,2023-03-01 05:49:00,work at the office (09 h)
963,85871,2023-03-01 15:11:00,hang up laundry outside
964,85907,2023-03-01 15:47:00,cook coffee
965,85917,2023-03-01 15:57:00,go to the toilet
966,85922,2023-03-01 16:02:00,make smoothie
967,85927,2023-03-01 16:07:00,talk with friends on the phone
968,85961,2023-03-01 16:41:00,take a shower (men)
969,85981,2023-03-01 17:01:00,bake bread
970,86049,2023-03-01 18:09:00,practice generic music instrument (1 h)
971,86106,2023-03-01 19:06:00,run the dishwasher (triggered)
972,86124,2023-03-01 19:24:00,take singing lessons
973,86249,2023-03-01 21:29:00,sleep bed 02 (06 h)
974,86609,2023-03-02 03:29:00,go to the toilet
975,86614,2023-03-02 03:34:00,make smoothie
976,86620,2023-03-02 03:40:00,talk with friends on the phone
977,86644,2023-03-02 04:04:00,watch sports on TV with SAT Reciever (2 h)
978,86752,2023-03-02 05:52:00,work at the office (09 h)
979,87265,2023-03-02 14:25:00,do laundry 30°C with mini washing machine
980,87278,2023-03-02 14:38:00,go shopping for food in the supermarket (1_5 h)
981,87359,2023-03-02 15:59:00,hang up laundry outside
982,87388,2023-03-02 16:28:00,go to the toilet
983,87393,2023-03-02 16:33:00,iron and watch TV with Sat Reciever (1 h)
984,87453,2023-03-02 17:33:00,make smoothie
985,87459,2023-03-02 17:39:00,talk with friends on the phone
986,87485,2023-03-02 18:05:00,run vacuum cleaner robot
987,87496,2023-03-02 18:16:00,visit the cinema
988,87691,2023-03-02 21:31:00,sleep bed 02 (06 h)
989,88033,2023-03-03 03:13:00,go to the toilet
990,88038,2023-03-03 03:18:00,practice generic music instrument (1 h)
991,88092,2023-03-03 04:12:00,make smoothie
992,88098,2023-03-03 04:18:00,listen to music on hifi (2 h)
993,88212,2023-03-03 06:12:00,work at the office (09 h)
994,88790,2023-03-03 15:50:00,make smoothie
995,88795,2023-03-03 15:55:00,cook coffee
996,88807,2023-03-03 16:07:00,go to the toilet
997,88812,2023-03-03 16:12:00,talk with friends on the phone
998,88838,2023-03-03 16:38:00,go to horse riding lessons
999,89017,2023-03-03 19:37:00,do laundry 30°C with mini washing machine
1000,89032,2023-03-03 19:52:00,go to the toilet
1001,89036,2023-03-03 19:56:00,take a shower (men)
1002,89056,2023-03-03 20:16:00,watch the news
1003,89071,2023-03-03 20:31:00,watch a movie for 1 h 30 min
1004,89146,2023-03-03 21:46:00,sleep bed 02 (06 h)
1005,89514,2023-03-04 03:54:00,hang up laundry outside
1006,89541,2023-03-04 04:21:00,go to the toilet
1007,89547,2023-03-04 04:27:00,make smoothie
1008,89553,2023-03-04 04:33:00,talk with friends on the phone
1009,89577,2023-03-04 04:57:00,practice generic music instrument (1 h)
1010,89642,2023-03-04 06:02:00,watch sports on TV with SAT Reciever (2 h)
1011,89773,2023-03-04 08:13:00,get ready in the morning (men)
1012,89785,2023-03-04 08:25:00,eat very small breakfast (5 min)
1013,89792,2023-03-04 08:32:00,do laundry 60°C with mini washing machine
1014,89808,2023-03-04 08:48:00,clean the windows
1015,89940,2023-03-04 11:00:00,run the dishwasher (triggered)
1016,89957,2023-03-04 11:17:00,go to the toilet
1017,89961,2023-03-04 11:21:00,hang up laundry outside
1018,89991,2023-03-04 11:51:00,bake a cake
1019,90028,2023-03-04 12:28:00,cook weekend lunch for the family
1020,90193,2023-03-04 15:13:00,iron and watch TV with Sat Reciever (1 h)
1021,90262,2023-03-04 16:22:00,talk with friends on the phone
1022,90295,2023-03-04 16:55:00,go shopping for food in the supermarket (1_5 h)
1023,90381,2023-03-04 18:21:00,watch TV (1 h)
1024,90446,2023-03-04 19:26:00,go to the toilet
1025,90452,2023-03-04 19:32:00,watch a movie for 2 h
1026,90599,2023-03-04 21:59:00,sleep bed 02 (06 h)
1027,90956,2023-03-05 03:56:00,do laundry 30°C with mini washing machine
1028,90971,2023-03-05 04:11:00,make smoothie
1029,90976,2023-03-05 04:16:00,talk with friends on the phone
1030,91007,2023-03-05 04:47:00,listen to music on hifi (2 h)
1031,91127,2023-03-05 06:47:00,hang up laundry outside
1032,91161,2023-03-05 07:21:00,go to the toilet
1033,91166,2023-03-05 07:26:00,get ready in the morning (men)
1034,91177,2023-03-05 07:37:00,cook coffee
1035,91186,2023-03-05 07:46:00,practice generic music instrument (1 h)
1036,91243,2023-03-05 08:43:00,eat very small breakfast (5 min)
1037,91249,2023-03-05 08:49:00,watch TV (1 h)
1038,91312,2023-03-05 09:52:00,watch sports on TV with DVB-T (2 h)
1039,91389,2023-03-05 11:09:00,cook weekend lunch for the family
1040,91586,2023-03-05 14:26:00,run the dishwasher (triggered)
1041,91600,2023-03-05 14:40:00,go to the toilet
1042,91604,2023-03-05 14:44:00,talk with friends on the phone
1043,91633,2023-03-05 15:13:00,watch a movie for 1 h 30 min
1044,91722,2023-03-05 16:42:00,take singing lessons
1045,91846,2023-03-05 18:46:00,go to horse riding lessons
1046,92021,2023-03-05 21:41:00,sleep bed 02 (06 h)
1047,92371,2023-03-06 03:31:00,make smoothie
1048,92378,2023-03-06 03:38:00,go to the toilet
1049,92384,2023-03-06 03:44:00,watch TV (1 h)
1050,92445,2023-03-06 04:45:00,talk with friends on the phone
1051,92475,2023-03-06 05:15:00,work at the office (09 h)
1052,93005,2023-03-06 14:05:00,go to the toilet
1053,93011,2023-03-06 14:11:00,do laundry 30°C with mini washing machine
1054,93027,2023-03-06 14:27:00,take a shower (men)
1055,93045,2023-03-06 14:45:00,make smoothie
1056,93051,2023-03-06 14:51:00,practice generic music instrument (1 h)
1057,93104,2023-03-06 15:44:00,cook coffee
1058,93115,2023-03-06 15:55:00,hang up laundry outside
1059,93148,2023-03-06 16:28:00,run vacuum cleaner robot
1060,93158,2023-03-06 16:38:00,iron and watch TV with Sat Reciever (1 h)
1061,93224,2023-03-06 17:44:00,talk with friends on the phone
1062,93260,2023-03-06 18:20:00,go to the toilet
1063,93266,2023-03-06 18:26:00,go shopping for food in the supermarket (1_5 h)
1064,93350,2023-03-06 19:50:00,watch sports on TV with SAT Reciever (2 h)
1065,93479,2023-03-06 21:59:00,sleep bed 02 (06 h)
1066,93832,2023-03-07 03:52:00,make smoothie
1067,93837,2023-03-07 03:57:00,watch the news
1068,93854,2023-03-07 04:14:00,watch sports on TV with DVB-T (2 h)
1069,93986,2023-03-07 06:26:00,work at the office (09 h)
1070,94553,2023-03-07 15:53:00,go to the toilet
1071,94559,2023-03-07 15:59:00,do laundry 30°C with mini washing machine
1072,94576,2023-03-07 16:16:00,make smoothie
1073,94582,2023-03-07 16:22:00,talk with friends on the phone
1074,94614,2023-03-07 16:54:00,practice generic music instrument (1 h)
1075,94666,2023-03-07 17:46:00,hang up laundry outside
1076,94702,2023-03-07 18:22:00,listen to music on hifi (2 h)
1077,94818,2023-03-07 20:18:00,watch TV (1 h)
1078,94881,2023-03-07 21:21:00,sleep bed 02 (06 h)
1079,95227,2023-03-08 03:07:00,go to the toilet
1080,95232,2023-03-08 03:12:00,make smoothie
1081,95237,2023-03-08 03:17:00,talk with friends on the phone
1082,95265,2023-03-08 03:45:00,watch a movie for 2 h
1083,95383,2023-03-08 05:43:00,work at the office (09 h)
1084,96021,2023-03-08 16:21:00,do laundry 60°C with mini washing machine
1085,96033,2023-03-08 16:33:00,go to the toilet
1086,96038,2023-03-08 16:38:00,make smoothie
1087,96043,2023-03-08 16:43:00,go to horse riding lessons
1088,96223,2023-03-08 19:43:00,run the dishwasher (triggered)
1089,96241,2023-03-08 20:01:00,hang up laundry outside
1090,96271,2023-03-08 20:31:00,go to the toilet
1091,96276,2023-03-08 20:36:00,iron and watch TV with Sat Reciever (1 h)
1092,96325,2023-03-08 21:25:00,sleep bed 02 (06 h)
1093,96689,2023-03-09 03:29:00,do laundry 30°C with mini washing machine
1094,96706,2023-03-09 03:46:00,go to the toilet
1095,96712,2023-03-09 03:52:00,make smoothie
1096,96717,2023-03-09 03:57:00,practice generic music instrument (1 h)
1097,96776,2023-03-09 04:56:00,talk with friends on the phone
1098,96805,2023-03-09 05:25:00,work at the office (09 h)
1099,97389,2023-03-09 15:09:00,go to the toilet
1100,97395,2023-03-09 15:15:00,hang up laundry outside
1101,97427,2023-03-09 15:47:00,take a shower (men)
1102,97450,2023-03-09 16:10:00,go shopping for food in the supermarket (1_5 h)
1103,97541,2023-03-09 17:41:00,make smoothie
1104,97546,2023-03-09 17:46:00,bake bread
1105,97610,2023-03-09 18:50:00,go to the toilet
1106,97615,2023-03-09 18:55:00,talk with friends on the phone
1107,97643,2023-03-09 19:23:00,take singing lessons
1108,97772,2023-03-09 21:32:00,sleep bed 02 (06 h)
1109,98125,2023-03-10 03:25:00,go to the toilet
1110,98131,2023-03-10 03:31:00,listen to music on hifi (2 h)
1111,98248,2023-03-10 05:28:00,work at the office (09 h)
1112,98859,2023-03-10 15:39:00,go to the toilet
1113,98864,2023-03-10 15:44:00,do laundry 30°C with mini washing machine
1114,98880,2023-03-10 16:00:00,make smoothie
1115,98886,2023-03-10 16:06:00,practice generic music instrument (1 h)
1116,98946,2023-03-10 17:06:00,talk with friends on the phone
1117,98976,2023-03-10 17:36:00,hang up laundry outside
1118,99006,2023-03-10 18:06:00,watch the news
1119,99021,2023-03-10 18:21:00,bake a cake
1120,99061,2023-03-10 19:01:00,run vacuum cleaner robot
1121,99071,2023-03-10 19:11:00,run the dishwasher (triggered)
1122,99085,2023-03-10 19:25:00,visit the cinema
1123,99264,2023-03-10 22:24:00,sleep bed 02 (06 h)
1124,99614,2023-03-11 04:14:00,go to the toilet
1125,99619,2023-03-11 04:19:00,iron and watch TV with Sat Reciever (1 h)
1126,99683,2023-03-11 05:23:00,do laundry 30°C with mini washing machine
1127,99696,2023-03-11 05:36:00,make smoothie
1128,99701,2023-03-11 05:41:00,cook coffee
1129,99712,2023-03-11 05:52:00,talk with friends on the phone
1130,99742,2023-03-11 06:22:00,get ready in the morning (men)
1131,99752,2023-03-11 06:32:00,watch TV (1 h)
1132,99820,2023-03-11 07:40:00,hang up laundry outside
1133,99847,2023-03-11 08:07:00,go to horse riding lessons
1134,100051,2023-03-11 11:31:00,go to the toilet
1135,100056,2023-03-11 11:36:00,cook weekend lunch for the family
1136,100226,2023-03-11 14:26:00,take a hike (4 h)
1137,100481,2023-03-11 18:41:00,take a shower (men)
1138,100502,2023-03-11 19:02:00,practice generic music instrument (1 h)
1139,100560,2023-03-11 20:00:00,talk with friends on the phone
1140,100595,2023-03-11 20:35:00,watch a movie for 2 h
1141,100729,2023-03-11 22:49:00,sleep bed 02 (06 h)
1142,101089,2023-03-12 04:49:00,go to the toilet
1143,101095,2023-03-12 04:55:00,make smoothie
1144,101101,2023-03-12 05:01:00,listen to music on hifi (2 h)
1145,101220,2023-03-12 07:00:00,get ready in the morning (men)
1146,101231,2023-03-12 07:11:00,cook coffee
1147,101241,2023-03-12 07:21:00,talk with friends on the phone
1148,101269,2023-03-12 07:49:00,do laundry 60°C with mini washing machine
1149,101285,2023-03-12 08:05:00,watch TV (1 h)
1150,101358,2023-03-12 09:18:00,watch the news
1151,101372,2023-03-12 09:32:00,hang up laundry outside
1152,101402,2023-03-12 10:02:00,go to the toilet
1153,101408,2023-03-12 10:08:00,iron and watch TV with Sat Reciever (1 h)
1154,101466,2023-03-12 11:06:00,cook weekend lunch for the family
1155,101631,2023-03-12 13:51:00,watch sports on TV with SAT Reciever (2 h)
1156,101745,2023-03-12 15:45:00,talk with friends on the phone
1157,101777,2023-03-12 16:17:00,watch a movie for 2 h
1158,101905,2023-03-12 18:25:00,run the dishwasher (triggered)
1159,101921,2023-03-12 18:41:00,go to the toilet
1160,101927,2023-03-12 18:47:00,watch sports on TV with DVB-T (2 h)
1161,102051,2023-03-12 20:51:00,practice generic music instrument (1 h)
1162,102116,2023-03-12 21:56:00,sleep bed 02 (06 h)
1163,102487,2023-03-13 04:07:00,go to the toilet
1164,102494,2023-03-13 04:14:00,do laundry 30°C with mini washing machine
1165,102509,2023-03-13 04:29:00,make smoothie
1166,102514,2023-03-13 04:34:00,talk with friends on the phone
1167,102542,2023-03-13 05:02:00,watch TV (1 h)
1168,102608,2023-03-13 06:08:00,work at the office (09 h)
1169,103197,2023-03-13 15:57:00,go to the toilet
1170,103204,2023-03-13 16:04:00,hang up laundry outside
1171,103234,2023-03-13 16:34:00,go shopping for food in the supermarket (1_5 h)
1172,103318,2023-03-13 17:58:00,make smoothie
1173,103323,2023-03-13 18:03:00,go to horse riding lessons
1174,103532,2023-03-13 21:32:00,sleep bed 02 (06 h)
1175,103903,2023-03-14 03:43:00,do laundry 30°C with mini washing machine
1176,103917,2023-03-14 03:57:00,go to the toilet
1177,103922,2023-03-14 04:02:00,practice generic music instrument (1 h)
1178,103985,2023-03-14 05:05:00,work at the office (09 h)
1179,104552,2023-03-14 14:32:00,go to the toilet
1180,104558,2023-03-14 14:38:00,hang up laundry outside
1181,104591,2023-03-14 15:11:00,take a shower (men)
1182,104609,2023-03-14 15:29:00,iron Clothes
1183,104672,2023-03-14 16:32:00,make smoothie
1184,104678,2023-03-14 16:38:00,talk with friends on the phone
1185,104705,2023-03-14 17:05:00,take singing lessons
1186,104830,2023-03-14 19:10:00,go to the toilet
1187,104835,2023-03-14 19:15:00,run vacuum cleaner robot
1188,104843,2023-03-14 19:23:00,listen to music on hifi (2 h)
1189,104969,2023-03-14 21:29:00,sleep bed 02 (06 h)
1190,105311,2023-03-15 03:11:00,go to the toilet
1191,105316,2023-03-15 03:16:00,make smoothie
1192,105322,2023-03-15 03:22:00,watch the news
1193,105337,2023-03-15 03:37:00,talk with friends on the phone
1194,105363,2023-03-15 04:03:00,practice generic music instrument (1 h)
1195,105425,2023-03-15 05:05:00,work at the office (09 h)
1196,105922,2023-03-15 13:22:00,go to the toilet
1197,105927,2023-03-15 13:27:00,do laundry 30°C with mini washing machine
1198,105942,2023-03-15 13:42:00,cook coffee
1199,105953,2023-03-15 13:53:00,make smoothie
1200,105959,2023-03-15 13:59:00,watch a movie for 2 h
1201,106083,2023-03-15 16:03:00,hang up laundry outside
1202,106110,2023-03-15 16:30:00,talk with friends on the phone
1203,106142,2023-03-15 17:02:00,go shopping for food in the supermarket (1_5 h)
1204,106222,2023-03-15 18:22:00,go to horse riding lessons
1205,106361,2023-03-15 20:41:00,go to the toilet
1206,106366,2023-03-15 20:46:00,watch a movie for 1 h 30 min
1207,106442,2023-03-15 22:02:00,sleep bed 02 (06 h)
1208,106766,2023-03-16 03:26:00,make smoothie
1209,106772,2023-03-16 03:32:00,watch sports on TV with SAT Reciever (2 h)
1210,106895,2023-03-16 05:35:00,work at the office (09 h)
1211,107468,2023-03-16 15:08:00,run the dishwasher (triggered)
1212,107484,2023-03-16 15:24:00,go to the toilet
1213,107489,2023-03-16 15:29:00,do laundry 60°C with mini washing machine
1214,107506,2023-03-16 15:46:00,make smoothie
1215,107511,2023-03-16 15:51:00,practice generic music instrument (1 h)
1216,107573,2023-03-16 16:53:00,talk with friends on the phone
1217,107600,2023-03-16 17:20:00,hang up laundry outside
1218,107630,2023-03-16 17:50:00,take a shower (men)
1219,107652,2023-03-16 18:12:00,iron and watch TV with Sat Reciever (1 h)
1220,107715,2023-03-16 19:15:00,bake bread
1221,107781,2023-03-16 20:21:00,listen to music on hifi (2 h)
1222,107905,2023-03-16 22:25:00,sleep bed 02 (06 h)
1223,108265,2023-03-17 04:25:00,go to the toilet
1224,108270,2023-03-17 04:30:00,do laundry 30°C with mini washing machine
1225,108286,2023-03-17 04:46:00,make smoothie
1226,108292,2023-03-17 04:52:00,talk with friends on the phone
1227,108324,2023-03-17 05:24:00,work at the office (09 h)
1228,108854,2023-03-17 14:14:00,hang up laundry outside
1229,108880,2023-03-17 14:40:00,cook coffee
1230,108890,2023-03-17 14:50:00,go to the toilet
1231,108896,2023-03-17 14:56:00,bake a cake
1232,108932,2023-03-17 15:32:00,make smoothie
1233,108938,2023-03-17 15:38:00,run the dishwasher (triggered)
1234,108954,2023-03-17 15:54:00,practice generic music instrument (1 h)
1235,109001,2023-03-17 16:41:00,visit a festival (2d)
1236,111997,2023-03-19 18:37:00,take a shower (men)
1237,112018,2023-03-19 18:58:00,go to the toilet
1238,112023,2023-03-19 19:03:00,do laundry 30°C with mini washing machine
1239,112038,2023-03-19 19:18:00,make smoothie
1240,112044,2023-03-19 19:24:00,talk with friends on the phone
1241,112076,2023-03-19 19:56:00,take singing lessons
1242,112198,2023-03-19 21:58:00,sleep bed 02 (06 h)
1243,112544,2023-03-20 03:44:00,hang up laundry outside
1244,112574,2023-03-20 04:14:00,practice generic music instrument (1 h)
1245,112628,2023-03-20 05:08:00,work at the office (09 h)
1246,113228,2023-03-20 15:08:00,go to the toilet
1247,113233,2023-03-20 15:13:00,go shopping for food in the supermarket (1_5 h)
1248,113318,2023-03-20 16:38:00,iron Clothes
1249,113385,2023-03-20 17:45:00,do laundry 30°C with mini washing machine
1250,113402,2023-03-20 18:02:00,make smoothie
1251,113407,2023-03-20 18:07:00,go to horse riding lessons
1252,113584,2023-03-20 21:04:00,hang up laundry outside
1253,113617,2023-03-20 21:37:00,sleep bed 02 (06 h)
1254,113988,2023-03-21 03:48:00,go to the toilet
1255,113994,2023-03-21 03:54:00,talk with friends on the phone
1256,114022,2023-03-21 04:22:00,make smoothie
1257,114027,2023-03-21 04:27:00,watch sports on TV with SAT Reciever (2 h)
1258,114171,2023-03-21 06:51:00,work at the office (09 h)
1259,114744,2023-03-21 16:24:00,run the dishwasher (triggered)
1260,114759,2023-03-21 16:39:00,do laundry 60°C with mini washing machine
1261,114775,2023-03-21 16:55:00,go to the toilet
1262,114781,2023-03-21 17:01:00,make smoothie
1263,114787,2023-03-21 17:07:00,practice generic music instrument (1 h)
1264,114847,2023-03-21 18:07:00,visit the cinema
1265,115004,2023-03-21 20:44:00,hang up laundry outside
1266,115034,2023-03-21 21:14:00,sleep bed 02 (06 h)
1267,115376,2023-03-22 02:56:00,iron and watch TV with Sat Reciever (1 h)
1268,115435,2023-03-22 03:55:00,go to the toilet
1269,115440,2023-03-22 04:00:00,do laundry 30°C with mini washing machine
1270,115454,2023-03-22 04:14:00,make smoothie
1271,115461,2023-03-22 04:21:00,talk with friends on the phone
1272,115491,2023-03-22 04:51:00,listen to music on hifi (2 h)
1273,115614,2023-03-22 06:54:00,work at the office (09 h)
1274,116235,2023-03-22 17:15:00,hang up laundry outside
1275,116265,2023-03-22 17:45:00,go to the toilet
1276,116272,2023-03-22 17:52:00,take a shower (men)
1277,116295,2023-03-22 18:15:00,do laundry 30°C with mini washing machine
1278,116310,2023-03-22 18:30:00,make smoothie
1279,116315,2023-03-22 18:35:00,run vacuum cleaner robot
1280,116326,2023-03-22 18:46:00,go shopping for food in the supermarket (1_5 h)
1281,116413,2023-03-22 20:13:00,talk with friends on the phone
1282,116445,2023-03-22 20:45:00,practice generic music instrument (1 h)
1283,116498,2023-03-22 21:38:00,sleep bed 02 (06 h)
1284,116891,2023-03-23 04:11:00,go to the toilet
1285,116897,2023-03-23 04:17:00,hang up laundry outside
1286,116924,2023-03-23 04:44:00,make smoothie
1287,116929,2023-03-23 04:49:00,iron and watch TV with Sat Reciever (1 h)
1288,116989,2023-03-23 05:49:00,work at the office (09 h)
1289,117427,2023-03-23 13:07:00,cook coffee
1290,117436,2023-03-23 13:16:00,watch a movie for 2 h
1291,117542,2023-03-23 15:02:00,go to the toilet
1292,117548,2023-03-23 15:08:00,make smoothie
1293,117554,2023-03-23 15:14:00,talk with friends on the phone
1294,117579,2023-03-23 15:39:00,go to horse riding lessons
1295,117770,2023-03-23 18:50:00,go to the toilet
1296,117776,2023-03-23 18:56:00,bake bread
1297,117856,2023-03-23 20:16:00,take singing lessons
1298,117968,2023-03-23 22:08:00,sleep bed 02 (06 h)
1299,118307,2023-03-24 03:47:00,go to the toilet
1300,118311,2023-03-24 03:51:00,do laundry 30°C with mini washing machine
1301,118327,2023-03-24 04:07:00,make smoothie
1302,118332,2023-03-24 04:12:00,practice generic music instrument (1 h)
1303,118398,2023-03-24 05:18:00,work at the office (09 h)
1304,119025,2023-03-24 15:45:00,go to the toilet
1305,119030,2023-03-24 15:50:00,run the dishwasher (triggered)
1306,119047,2023-03-24 16:07:00,hang up laundry outside
